date,source,symbol,price_low,price_mid,price_high,currency,unit,price_low_usd_mt,price_mid_usd_mt,price_high_usd_mt,description
2024-08-21,Synthetic_External,rebar_uae_import,621.3657962531187,624.4882374403203,627.6106786275219,USD,USD/mt,621.3657962531187,624.4882374403203,627.6106786275219,UAE Rebar Import CFR Jebel Ali
2024-08-22,Synthetic_External,rebar_uae_import,625.5343402409748,628.6777288854017,631.8211175298287,USD,USD/mt,625.5343402409748,628.6777288854017,631.8211175298287,UAE Rebar Import CFR Jebel Ali
2024-08-23,Synthetic_External,rebar_uae_import,623.9502070905668,627.0856352669012,630.2210634432357,USD,USD/mt,623.9502070905668,627.0856352669012,630.2210634432357,UAE Rebar Import CFR Jebel Ali
2024-08-24,Synthetic_External,rebar_uae_import,629.4969541424794,632.6602554195772,635.823556696675,USD,USD/mt,629.4969541424794,632.6602554195772,635.823556696675,UAE Rebar Import CFR Jebel Ali
2024-08-25,Synthetic_External,rebar_uae_import,642.9851218691779,646.2162028835959,649.4472838980139,USD,USD/mt,642.9851218691779,646.2162028835959,649.4472838980139,UAE Rebar Import CFR Jebel Ali
2024-08-26,Synthetic_External,rebar_uae_import,640.5458340243152,643.7646573108696,646.9834805974239,USD,USD/mt,640.5458340243152,643.7646573108696,646.9834805974239,UAE Rebar Import CFR Jebel Ali
2024-08-27,Synthetic_External,rebar_uae_import,638.1115678833918,641.3181586767756,644.5247494701595,USD,USD/mt,638.1115678833918,641.3181586767756,644.5247494701595,UAE Rebar Import CFR Jebel Ali
2024-08-28,Synthetic_External,rebar_uae_import,652.1237600799013,655.4007638993983,658.6777677188952,USD,USD/mt,652.1237600799013,655.4007638993983,658.6777677188952,UAE Rebar Import CFR Jebel Ali
2024-08-29,Synthetic_External,rebar_uae_import,658.7805953677645,662.0910506208688,665.4015058739732,USD,USD/mt,658.7805953677645,662.0910506208688,665.4015058739732,UAE Rebar Import CFR Jebel Ali
2024-08-30,Synthetic_External,rebar_uae_import,654.2274907824698,657.5150661130349,660.8026414436,USD,USD/mt,654.2274907824698,657.5150661130349,660.8026414436,UAE Rebar Import CFR Jebel Ali
